accuracy,precision,recall,f1,tp,tn,fp,fn,auc,threshold,seed,memory_policy,signal,collapse_low_std_rate,collapse_strict_rate,mean_memory_size
0.4333,0.4333,1.0,0.6047,26,0,34,0,0.6041,0.0,1,no_memory,target_score,0.1833,0.0,0.0
0.4333,0.4333,1.0,0.6047,26,0,34,0,0.5899,-0.54,1,no_memory,delta_score,0.1833,0.0,0.0
0.4333,0.4333,1.0,0.6047,26,0,34,0,0.6086,-1.6556,1,no_memory,z_score,0.1833,0.0,0.0
0.4333,0.4333,1.0,0.6047,26,0,34,0,0.5911,-0.5,1,no_memory,rank_gap,0.1833,0.0,0.0
0.4333,0.4333,1.0,0.6047,26,0,34,0,0.5707,-0.6,1,no_memory,field_recall_gap,0.1833,0.0,0.0
0.4667,0.4667,1.0,0.6364,28,0,32,0,0.6535,0.0,2,no_memory,target_score,0.2167,0.0,0.0
0.5667,0.525,0.75,0.6176,21,13,19,7,0.6445,-0.066,2,no_memory,delta_score,0.2167,0.0,0.0
0.5667,0.5238,0.7857,0.6286,22,12,20,6,0.635,-0.4728,2,no_memory,z_score,0.2167,0.0,0.0
0.5,0.4815,0.9286,0.6341,26,4,28,2,0.6177,-0.3,2,no_memory,rank_gap,0.2167,0.0,0.0
0.5667,0.5294,0.6429,0.5806,18,16,16,10,0.6161,0.0,2,no_memory,field_recall_gap,0.2167,0.0,0.0
0.45,0.45,1.0,0.6207,27,0,33,0,0.4304,0.0,3,no_memory,target_score,0.2,0.0,0.0
0.4333,0.434,0.8519,0.575,23,3,30,4,0.4203,-0.132,3,no_memory,delta_score,0.2,0.0,0.0
0.4667,0.4576,1.0,0.6279,27,1,32,0,0.4214,-1.1544,3,no_memory,z_score,0.2,0.0,0.0
0.45,0.45,1.0,0.6207,27,0,33,0,0.3984,-0.4,3,no_memory,rank_gap,0.2,0.0,0.0
0.4333,0.4386,0.9259,0.5952,25,1,32,2,0.4226,-0.4,3,no_memory,field_recall_gap,0.2,0.0,0.0
0.55,0.5556,0.6452,0.597,20,13,16,11,0.579,0.04,4,no_memory,target_score,0.1333,0.0,0.0
0.5667,0.5581,0.7742,0.6486,24,10,19,7,0.5539,-0.114,4,no_memory,delta_score,0.1333,0.0,0.0
0.5667,0.561,0.7419,0.6389,23,11,18,8,0.5506,-0.5739,4,no_memory,z_score,0.1333,0.0,0.0
0.55,0.5435,0.8065,0.6494,25,8,21,6,0.5684,-0.2,4,no_memory,rank_gap,0.1333,0.0,0.0
0.5667,0.5581,0.7742,0.6486,24,10,19,7,0.5523,-0.12,4,no_memory,field_recall_gap,0.1333,0.0,0.0
0.5,0.5,1.0,0.6667,30,0,30,0,0.6483,0.0,5,no_memory,target_score,0.15,0.0,0.0
0.5167,0.5085,1.0,0.6742,30,1,29,0,0.6956,-0.332,5,no_memory,delta_score,0.15,0.0,0.0
0.6,0.56,0.9333,0.7,28,8,22,2,0.6844,-0.5999,5,no_memory,z_score,0.15,0.0,0.0
0.55,0.5273,0.9667,0.6824,29,4,26,1,0.65,-0.2,5,no_memory,rank_gap,0.15,0.0,0.0
0.5167,0.5085,1.0,0.6742,30,1,29,0,0.6928,-0.36,5,no_memory,field_recall_gap,0.15,0.0,0.0
0.55,0.5,0.7778,0.6087,21,12,21,6,0.573,0.29,10,no_memory,target_score,0.25,0.0,0.0
0.3667,0.4,0.8148,0.5366,22,0,33,5,0.5438,-0.274,10,no_memory,delta_score,0.25,0.0,0.0
0.4333,0.4364,0.8889,0.5854,24,2,31,3,0.5561,-0.8165,10,no_memory,z_score,0.25,0.0,0.0
0.4333,0.4364,0.8889,0.5854,24,2,31,3,0.5831,-0.2,10,no_memory,rank_gap,0.25,0.0,0.0
0.4,0.4182,0.8519,0.561,23,1,32,4,0.5393,-0.32,10,no_memory,field_recall_gap,0.25,0.0,0.0
0.5833,0.5833,1.0,0.7368,35,0,25,0,0.4777,0.0,20,no_memory,target_score,0.25,0.0,0.0
0.5167,0.5577,0.8286,0.6667,29,2,23,6,0.472,-0.2,20,no_memory,delta_score,0.25,0.0,0.0
0.55,0.569,0.9429,0.7097,33,0,25,2,0.468,-1.0332,20,no_memory,z_score,0.25,0.0,0.0
0.5167,0.5556,0.8571,0.6742,30,1,24,5,0.4406,-0.2,20,no_memory,rank_gap,0.25,0.0,0.0
0.5167,0.5577,0.8286,0.6667,29,2,23,6,0.432,-0.2,20,no_memory,field_recall_gap,0.25,0.0,0.0
0.4833,0.4833,1.0,0.6517,29,0,31,0,0.5545,0.0,30,no_memory,target_score,0.1167,0.0,0.0
0.4833,0.4783,0.7586,0.5867,22,7,24,7,0.4989,-0.19,30,no_memory,delta_score,0.1167,0.0,0.0
0.4833,0.4722,0.5862,0.5231,17,12,19,12,0.5217,-0.4123,30,no_memory,z_score,0.1167,0.0,0.0
0.5333,0.5098,0.8966,0.65,26,6,25,3,0.5306,-0.2,30,no_memory,rank_gap,0.1167,0.0,0.0
0.5167,0.5,0.7241,0.5915,21,10,21,8,0.5234,-0.16,30,no_memory,field_recall_gap,0.1167,0.0,0.0
0.4167,0.4167,1.0,0.5882,25,0,35,0,0.6686,0.0,40,no_memory,target_score,0.25,0.0,0.0
0.4167,0.4167,1.0,0.5882,25,0,35,0,0.6394,-0.418,40,no_memory,delta_score,0.25,0.0,0.0
0.4167,0.4167,1.0,0.5882,25,0,35,0,0.6474,-1.2395,40,no_memory,z_score,0.25,0.0,0.0
0.4333,0.4237,1.0,0.5952,25,1,34,0,0.6697,-0.4,40,no_memory,rank_gap,0.25,0.0,0.0
0.4167,0.4167,1.0,0.5882,25,0,35,0,0.6411,-0.52,40,no_memory,field_recall_gap,0.25,0.0,0.0
0.5,0.5,1.0,0.6667,30,0,30,0,0.4989,0.0,42,no_memory,target_score,0.0833,0.0,0.0
0.5167,0.5085,1.0,0.6742,30,1,29,0,0.4133,-0.498,42,no_memory,delta_score,0.0833,0.0,0.0
0.5167,0.5085,1.0,0.6742,30,1,29,0,0.4389,-1.1859,42,no_memory,z_score,0.0833,0.0,0.0
0.5,0.5,1.0,0.6667,30,0,30,0,0.475,-0.5,42,no_memory,rank_gap,0.0833,0.0,0.0
0.5,0.5,1.0,0.6667,30,0,30,0,0.4533,-0.64,42,no_memory,field_recall_gap,0.0833,0.0,0.0
0.4333,0.4333,1.0,0.6047,26,0,34,0,0.5899,0.0,1,full_memory,target_score,0.1833,0.0,0.95
0.4167,0.4237,0.9615,0.5882,25,0,34,1,0.5939,-0.412,1,full_memory,delta_score,0.1833,0.0,0.95
0.4333,0.4333,1.0,0.6047,26,0,34,0,0.6052,-2.5643,1,full_memory,z_score,0.1833,0.0,0.95
0.4333,0.4333,1.0,0.6047,26,0,34,0,0.6086,-0.5,1,full_memory,rank_gap,0.1833,0.0,0.95
0.4333,0.4333,1.0,0.6047,26,0,34,0,0.5701,-0.56,1,full_memory,field_recall_gap,0.1833,0.0,0.95
0.4667,0.4667,1.0,0.6364,28,0,32,0,0.5474,0.0,2,full_memory,target_score,0.2,0.0,1.0
0.4667,0.4667,1.0,0.6364,28,0,32,0,0.534,-0.398,2,full_memory,delta_score,0.2,0.0,1.0
0.4667,0.4667,1.0,0.6364,28,0,32,0,0.5145,-1.1675,2,full_memory,z_score,0.2,0.0,1.0
0.4667,0.4667,1.0,0.6364,28,0,32,0,0.5257,-0.4,2,full_memory,rank_gap,0.2,0.0,1.0
0.4333,0.4483,0.9286,0.6047,26,0,32,2,0.5547,-0.28,2,full_memory,field_recall_gap,0.2,0.0,1.0
0.45,0.45,1.0,0.6207,27,0,33,0,0.5842,0.0,3,full_memory,target_score,0.1167,0.0,0.9833
0.4167,0.4231,0.8148,0.557,22,3,30,5,0.5488,-0.214,3,full_memory,delta_score,0.1167,0.0,0.9833
0.4167,0.4286,0.8889,0.5783,24,1,32,3,0.5589,-0.9255,3,full_memory,z_score,0.1167,0.0,0.9833
0.4333,0.4314,0.8148,0.5641,22,4,29,5,0.5421,-0.2,3,full_memory,rank_gap,0.1167,0.0,0.9833
0.4833,0.4565,0.7778,0.5753,21,8,25,6,0.5494,-0.16,3,full_memory,field_recall_gap,0.1167,0.0,0.9833
0.5833,0.5833,0.6774,0.6269,21,14,15,10,0.614,0.04,4,full_memory,target_score,0.1333,0.0,0.9833
0.5833,0.5938,0.6129,0.6032,19,16,13,12,0.5934,-0.002,4,full_memory,delta_score,0.1333,0.0,0.9833
0.5833,0.5938,0.6129,0.6032,19,16,13,12,0.609,-0.0055,4,full_memory,z_score,0.1333,0.0,0.9833
0.5833,0.5833,0.6774,0.6269,21,14,15,10,0.609,0.0,4,full_memory,rank_gap,0.1333,0.0,0.9833
0.55,0.5625,0.5806,0.5714,18,15,14,13,0.5745,0.04,4,full_memory,field_recall_gap,0.1333,0.0,0.9833
0.5,0.5,1.0,0.6667,30,0,30,0,0.6878,0.0,5,full_memory,target_score,0.25,0.0,1.0
0.65,0.6552,0.6333,0.6441,19,20,10,11,0.635,0.282,5,full_memory,delta_score,0.25,0.0,1.0
0.5333,0.5172,1.0,0.6818,30,2,28,0,0.6306,-1.1616,5,full_memory,z_score,0.25,0.0,1.0
0.5167,0.5088,0.9667,0.6667,29,2,28,1,0.6583,-0.3,5,full_memory,rank_gap,0.25,0.0,1.0
0.6667,0.625,0.8333,0.7143,25,15,15,5,0.6544,-0.04,5,full_memory,field_recall_gap,0.25,0.0,1.0
0.45,0.45,1.0,0.6207,27,0,33,0,0.6414,0.0,10,full_memory,target_score,0.2,0.0,0.9667
0.4333,0.4386,0.9259,0.5952,25,1,32,2,0.5786,-0.312,10,full_memory,delta_score,0.2,0.0,0.9667
0.45,0.45,1.0,0.6207,27,0,33,0,0.6004,-1.6121,10,full_memory,z_score,0.2,0.0,0.9667
0.45,0.45,1.0,0.6207,27,0,33,0,0.5971,-0.4,10,full_memory,rank_gap,0.2,0.0,0.9667
0.45,0.4483,0.963,0.6118,26,1,32,1,0.5752,-0.36,10,full_memory,field_recall_gap,0.2,0.0,0.9667
0.5833,0.5833,1.0,0.7368,35,0,25,0,0.5657,0.0,20,full_memory,target_score,0.1667,0.0,1.0
0.5833,0.5862,0.9714,0.7312,34,1,24,1,0.5823,-0.2,20,full_memory,delta_score,0.1667,0.0,1.0
0.5667,0.5763,0.9714,0.7234,34,0,25,1,0.5669,-1.0736,20,full_memory,z_score,0.1667,0.0,1.0
0.5833,0.5833,1.0,0.7368,35,0,25,0,0.5709,-0.4,20,full_memory,rank_gap,0.1667,0.0,1.0
0.5833,0.5862,0.9714,0.7312,34,1,24,1,0.5703,-0.32,20,full_memory,field_recall_gap,0.1667,0.0,1.0
0.4833,0.4833,1.0,0.6517,29,0,31,0,0.6007,0.0,30,full_memory,target_score,0.1333,0.0,0.9833
0.5,0.4915,1.0,0.6591,29,1,30,0,0.6618,-0.58,30,full_memory,delta_score,0.1333,0.0,0.9833
0.5167,0.5,1.0,0.6667,29,2,29,0,0.6785,-1.474,30,full_memory,z_score,0.1333,0.0,0.9833
0.5,0.4915,1.0,0.6591,29,1,30,0,0.6713,-0.4,30,full_memory,rank_gap,0.1333,0.0,0.9833
0.4833,0.4833,1.0,0.6517,29,0,31,0,0.6796,-0.6,30,full_memory,field_recall_gap,0.1333,0.0,0.9833
0.5167,0.4375,0.56,0.4912,14,17,18,11,0.5714,0.08,40,full_memory,target_score,0.15,0.0,0.9833
0.5167,0.4524,0.76,0.5672,19,12,23,6,0.6,-0.124,40,full_memory,delta_score,0.15,0.0,0.9833
0.55,0.4737,0.72,0.5714,18,15,20,7,0.6069,-0.3884,40,full_memory,z_score,0.15,0.0,0.9833
0.55,0.4722,0.68,0.5574,17,16,19,8,0.592,0.0,40,full_memory,rank_gap,0.15,0.0,0.9833
0.5167,0.4545,0.8,0.5797,20,11,24,5,0.604,-0.12,40,full_memory,field_recall_gap,0.15,0.0,0.9833
0.5,0.5,1.0,0.6667,30,0,30,0,0.4467,0.0,42,full_memory,target_score,0.1333,0.0,0.9833
0.5,0.5,1.0,0.6667,30,0,30,0,0.445,-0.416,42,full_memory,delta_score,0.1333,0.0,0.9833
0.5167,0.5085,1.0,0.6742,30,1,29,0,0.4372,-1.0496,42,full_memory,z_score,0.1333,0.0,0.9833
0.5,0.5,1.0,0.6667,30,0,30,0,0.4356,-0.4,42,full_memory,rank_gap,0.1333,0.0,0.9833
0.5,0.5,1.0,0.6667,30,0,30,0,0.4583,-0.48,42,full_memory,field_recall_gap,0.1333,0.0,0.9833
0.4333,0.4333,1.0,0.6047,26,0,34,0,0.44,0.0,1,perfect_only,target_score,0.1667,0.0,0.8667
0.45,0.4386,0.9615,0.6024,25,2,32,1,0.4395,-0.412,1,perfect_only,delta_score,0.1667,0.0,0.8667
0.4167,0.4237,0.9615,0.5882,25,0,34,1,0.4689,-1.1513,1,perfect_only,z_score,0.1667,0.0,0.8667
0.4333,0.4333,1.0,0.6047,26,0,34,0,0.4712,-0.5,1,perfect_only,rank_gap,0.1667,0.0,0.8667
0.4333,0.4333,1.0,0.6047,26,0,34,0,0.4095,-0.56,1,perfect_only,field_recall_gap,0.1667,0.0,0.8667
0.5167,0.4872,0.6786,0.5672,19,12,20,9,0.5497,0.04,2,perfect_only,target_score,0.1333,0.0,0.9
0.4833,0.4737,0.9643,0.6353,27,2,30,1,0.5971,-0.226,2,perfect_only,delta_score,0.1333,0.0,0.9
0.55,0.5111,0.8214,0.6301,23,10,22,5,0.5792,-0.5815,2,perfect_only,z_score,0.1333,0.0,0.9
0.5167,0.4889,0.7857,0.6027,22,9,23,6,0.5508,-0.1,2,perfect_only,rank_gap,0.1333,0.0,0.9
0.5667,0.525,0.75,0.6176,21,13,19,7,0.5982,-0.08,2,perfect_only,field_recall_gap,0.1333,0.0,0.9
0.45,0.45,1.0,0.6207,27,0,33,0,0.5842,0.0,3,perfect_only,target_score,0.1167,0.0,0.8833
0.4333,0.434,0.8519,0.575,23,3,30,4,0.5477,-0.214,3,perfect_only,delta_score,0.1167,0.0,0.8833
0.4167,0.4286,0.8889,0.5783,24,1,32,3,0.5612,-0.9255,3,perfect_only,z_score,0.1167,0.0,0.8833
