memory_policy,signal,auc,accuracy,precision,recall,f1,threshold,collapse_low_std_rate,collapse_strict_rate,mean_memory_size
no_memory,target_score,0.5688 ± 0.0798,0.4933 ± 0.0545,0.4889 ± 0.0517,0.9423 ± 0.1256,0.6378 ± 0.0448,0.0330 ± 0.0912,0.1833 ± 0.0604,0.0000 ± 0.0000,0.0000 ± 0.0000
no_memory,delta_score,0.5472 ± 0.0965,0.4817 ± 0.0669,0.4820 ± 0.0582,0.8778 ± 0.1096,0.6172 ± 0.0473,-0.2764 ± 0.1655,0.1833 ± 0.0604,0.0000 ± 0.0000,0.0000 ± 0.0000
no_memory,z_score,0.5532 ± 0.0910,0.5033 ± 0.0657,0.4939 ± 0.0581,0.8879 ± 0.1407,0.6281 ± 0.0568,-0.9144 ± 0.4044,0.1833 ± 0.0604,0.0000 ± 0.0000,0.0000 ± 0.0000
no_memory,rank_gap,0.5525 ± 0.0900,0.4900 ± 0.0486,0.4861 ± 0.0484,0.9344 ± 0.0700,0.6363 ± 0.0339,-0.3100 ± 0.1287,0.1833 ± 0.0604,0.0000 ± 0.0000,0.0000 ± 0.0000
no_memory,field_recall_gap,0.5444 ± 0.0904,0.4867 ± 0.0613,0.4860 ± 0.0553,0.8748 ± 0.1311,0.6177 ± 0.0419,-0.3320 ± 0.2134,0.1833 ± 0.0604,0.0000 ± 0.0000,0.0000 ± 0.0000
full_memory,target_score,0.5849 ± 0.0632,0.4967 ± 0.0526,0.4887 ± 0.0551,0.9237 ± 0.1631,0.6322 ± 0.0620,0.0120 ± 0.0270,0.1667 ± 0.0416,0.0000 ± 0.0000,0.9833 ± 0.0157
full_memory,delta_score,0.5773 ± 0.0594,0.5067 ± 0.0786,0.5031 ± 0.0811,0.8680 ± 0.1526,0.6248 ± 0.0531,-0.2376 ± 0.2475,0.1667 ± 0.0416,0.0000 ± 0.0000,0.9833 ± 0.0157
full_memory,z_score,0.5808 ± 0.0668,0.5033 ± 0.0582,0.4948 ± 0.0563,0.9193 ± 0.1400,0.6361 ± 0.0494,-1.1422 ± 0.6892,0.1667 ± 0.0416,0.0000 ± 0.0000,0.9833 ± 0.0157
full_memory,rank_gap,0.5811 ± 0.0682,0.5017 ± 0.0569,0.4920 ± 0.0547,0.9139 ± 0.1365,0.6340 ± 0.0529,-0.3000 ± 0.1764,0.1667 ± 0.0416,0.0000 ± 0.0000,0.9833 ± 0.0157
full_memory,field_recall_gap,0.5790 ± 0.0602,0.5100 ± 0.0734,0.4998 ± 0.0675,0.8855 ± 0.1371,0.6311 ± 0.0575,-0.2880 ± 0.2181,0.1667 ± 0.0416,0.0000 ± 0.0000,0.9833 ± 0.0157
perfect_only,target_score,0.5639 ± 0.0692,0.4917 ± 0.0579,0.4887 ± 0.0572,0.9356 ± 0.1358,0.6350 ± 0.0481,0.0080 ± 0.0169,0.1650 ± 0.0601,0.0000 ± 0.0000,0.9033 ± 0.0270
perfect_only,delta_score,0.5592 ± 0.0685,0.5067 ± 0.0858,0.4998 ± 0.0774,0.9285 ± 0.0733,0.6440 ± 0.0528,-0.2908 ± 0.1679,0.1650 ± 0.0601,0.0000 ± 0.0000,0.9033 ± 0.0270
perfect_only,z_score,0.5661 ± 0.0636,0.5050 ± 0.0716,0.4950 ± 0.0630,0.9376 ± 0.0749,0.6441 ± 0.0515,-1.0047 ± 0.2857,0.1650 ± 0.0601,0.0000 ± 0.0000,0.9033 ± 0.0270
perfect_only,rank_gap,0.5676 ± 0.0661,0.5050 ± 0.0629,0.4940 ± 0.0595,0.9304 ± 0.0925,0.6414 ± 0.0513,-0.2900 ± 0.1370,0.1650 ± 0.0601,0.0000 ± 0.0000,0.9033 ± 0.0270
perfect_only,field_recall_gap,0.5584 ± 0.0828,0.5133 ± 0.0749,0.5038 ± 0.0679,0.8844 ± 0.1417,0.6326 ± 0.0527,-0.3040 ± 0.2334,0.1650 ± 0.0601,0.0000 ± 0.0000,0.9033 ± 0.0270
partial_only,target_score,0.5913 ± 0.0826,0.5033 ± 0.0834,0.4983 ± 0.0716,0.9545 ± 0.1131,0.6472 ± 0.0532,0.0120 ± 0.0270,0.1750 ± 0.0620,0.0000 ± 0.0000,0.6700 ± 0.0495
